,0,1
215,1004,223
216,1005,223
217,1006,223
218,1006,222
219,1007,222
220,1007,221
221,1008,221
222,1009,221
223,1010,220
224,1011,220
225,1012,220
226,1014,219
227,1015,219
228,1016,218
229,1017,218
230,1018,218
231,1020,217
232,1021,217
233,1021,217
234,1022,217
235,1023,216
236,1023,215
237,1025,214
238,1026,214
239,1027,214
240,1029,213
241,1033,212
242,1034,212
243,1035,211
244,1036,211
245,1037,211
246,1037,211
247,1039,210
248,1040,210
249,1043,210
250,1046,209
251,1048,208
252,1048,208
253,1050,208
254,1052,208
255,1054,208
256,1056,208
257,1059,208
258,1064,208
259,1066,208
260,1072,208
261,1074,208
262,1077,208
263,1080,208
264,1082,208
265,1082,208
266,1083,208
267,1083,208
268,1085,208
269,1088,208
270,1090,208
271,1093,208
272,1095,208
273,1097,208
274,1097,208
275,1098,208
276,1101,208
277,1101,208
278,1102,208
279,1102,208
280,1103,208
281,1103,208
282,1103,209
283,1103,209
284,1103,210
285,1103,212
286,1103,212
287,1102,213
288,1101,214
289,1101,214
290,1100,215
291,1099,215
292,1096,216
293,1093,218
294,1087,221
295,1079,224
296,1067,226
297,1054,230
298,1045,230
299,1037,233
300,1025,235
301,1011,238
302,996,240
303,983,243
304,970,246
305,960,248
306,953,249
307,948,251
308,946,251
309,946,251
310,945,251
311,944,252
312,944,252
313,943,252
314,943,253
315,942,253
316,940,253
317,939,253
318,938,253
319,938,253
320,937,253
321,936,255
322,935,255
323,933,256
324,932,257
325,930,257
326,928,258
327,928,258
328,926,259
329,925,259
330,924,261
331,924,261
332,923,262
333,923,262
334,922,262
335,921,262
336,920,263
337,918,264
338,917,264
339,917,265
340,917,265
341,918,265
342,919,265
343,921,265
344,925,265
345,933,265
346,941,265
347,951,265
348,962,265
349,972,265
350,980,265
351,990,265
352,998,265
353,1005,265
354,1011,265
355,1021,265
356,1026,265
357,1031,265
358,1041,265
359,1046,265
360,1049,265
361,1053,265
362,1054,265
363,1055,265
364,1057,265
365,1058,265
366,1058,265
367,1059,265
368,1059,265
369,1060,265
370,1060,267
371,1060,267
372,1060,271
373,1060,275
374,1058,278
375,1055,284
376,1054,287
377,1052,292
378,1051,293
379,1048,298
380,1045,301
381,1043,306
382,1043,307
383,1041,308
384,1040,312
385,1039,313
386,1038,314
387,1037,318
388,1034,320
389,1033,321
390,1032,323
391,1030,326
392,1029,326
393,1029,328
394,1028,328
395,1028,329
396,1027,330
397,1026,331
398,1026,333
399,1023,335
400,1023,336
401,1022,338
402,1022,338
403,1021,340
404,1021,341
405,1020,343
406,1020,344
407,1019,345
408,1019,346
409,1019,346
410,1019,348
411,1019,349
412,1019,350
413,1019,350
414,1018,352
415,1018,354
416,1018,356
417,1017,359
418,1017,362
419,1017,364
420,1017,365
421,1017,367
422,1017,367
423,1017,368
424,1017,368
425,1018,370
426,1020,370
427,1020,370
428,1023,373
429,1024,373
430,1025,373
431,1026,374
432,1028,375
433,1028,375
434,1029,375
435,1031,375
436,1034,376
437,1036,377
438,1038,379
439,1041,381
440,1043,381
441,1045,381
442,1047,382
443,1048,382
444,1050,383
445,1051,383
446,1053,383
447,1054,383
448,1056,383
449,1056,383
450,1059,383
451,1060,383
452,1061,383
453,1061,383
454,1062,383
455,1063,384
456,1063,385
457,1063,386
458,1063,386
459,1063,387
460,1063,388
461,1063,389
462,1063,391
463,1062,393
464,1061,394
465,1060,398
466,1057,400
467,1056,402
468,1055,404
469,1054,407
470,1052,408
471,1051,411
472,1050,413
473,1048,416
474,1047,418
475,1045,419
476,1043,423
477,1040,427
478,1040,430
479,1037,433
480,1036,434
481,1035,436
482,1034,438
483,1033,440
484,1031,442
485,1030,442
486,1030,443
487,1029,444
488,1028,445
489,1028,446
490,1027,447
491,1026,449
492,1026,449
493,1025,451
494,1024,453
495,1022,456
496,1021,456
497,1019,459
498,1018,460
499,1018,462
